PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
148;2021;4;9999;17;7;10;4;7;1;1;0;0;65;1;47;21;5;16;5;5;13;16000;1257;0;0;0
150;2019;4;9999;7;3;2;6;2;0;0;0;0;64;0;20;3;2;6;1;2;5;8270;1253;372;0;0
150;2020;4;9999;14;7;6;18;1;0;1;0;0;62;1;42;20;7;7;2;3;14;14392;1051;0;0;0
177;2019;5;9999;12;2;2;6;-4;0;0;0;0;62;0;24;143;72;11;8;4;2;12661;528;587;0;0
177;2020;5;9999;16;5;9;2;0;2;1;0;0;74;0;42;236;130;15;6;9;15;15309;2122;787;0;0
185;2019;5;9999;12;6;3;0;0;0;0;0;0;64;2;37;0;0;10;0;4;19;13769;528;2;0;0
185;2020;5;9999;16;1;9;4;6;0;0;0;0;60;0;33;12;4;11;5;9;24;16620;684;771;0;0
192;2019;5;9999;12;1;10;2;2;0;2;0;0;74;0;30;214;102;13;2;7;11;13919;1766;1481;0;0
192;2020;5;9999;16;5;2;6;6;0;0;0;0;67;2;31;224;116;8;12;13;15;16457;684;1657;0;0
221;2019;6;9999;4;1;1;2;2;0;0;0;0;65;0;5;92;51;7;1;1;2;4027;694;190;0;0
221;2020;6;9999;5;2;0;0;-5;1;0;0;0;65;0;7;86;41;20;5;1;7;4821;986;743;0;0
235;2019;7;9999;17;0;9;0;5;0;0;0;0;60;0;28;0;0;6;12;11;11;22321;393;922;0;0
235;2020;7;9999;7;0;5;2;-3;0;0;0;0;59;0;12;0;0;7;4;7;14;8979;171;304;0;0
237;2019;7;9999;17;2;5;2;4;0;1;0;0;66;0;50;1;0;14;11;7;8;22025;1110;535;0;0
237;2020;7;9999;7;1;1;0;-5;0;1;0;0;67;1;25;1;1;5;5;3;9;8674;1087;0;0;0
240;2019;7;9999;17;2;6;0;9;1;1;0;0;69;1;45;0;0;10;8;10;15;21549;1676;113;0;0
240;2020;7;9999;7;3;1;2;-3;0;0;0;0;62;0;17;0;0;2;2;4;5;8855;201;53;0;0
252;2019;7;9999;17;2;3;0;1;2;0;0;0;66;0;32;0;0;3;4;8;22;16644;1558;0;0;0
252;2020;7;9999;7;1;3;0;-4;0;0;0;0;58;1;11;4;2;1;2;2;7;7147;219;31;0;0
253;2019;7;9999;17;5;5;2;7;0;1;0;0;62;1;40;0;0;6;2;8;14;17868;511;131;0;0
253;2020;7;9999;7;0;1;0;1;0;0;0;0;57;0;11;2;0;0;0;2;6;6828;219;225;0;0
259;2019;7;9999;17;2;11;4;7;0;0;0;0;65;1;27;229;121;9;2;5;14;18097;393;343;0;0
259;2020;7;9999;7;0;2;2;1;0;0;0;0;67;0;11;95;52;3;1;2;8;6689;1117;0;0;0
274;2019;8;9999;14;0;2;0;-2;0;0;0;0;59;0;21;0;0;19;14;0;20;18536;330;1009;0;0
274;2020;8;9999;7;0;2;2;-1;0;0;0;0;60;0;14;1;0;5;3;1;13;8111;0;472;0;0
284;2019;8;9999;14;1;8;2;0;1;2;0;0;66;0;36;231;139;9;5;4;25;13945;1691;320;0;0
284;2020;8;9999;7;1;6;0;2;0;2;0;0;67;1;17;119;55;6;1;2;4;6602;714;0;0;0
294;2019;8;9999;14;4;6;4;3;0;0;0;0;59;1;24;15;3;15;2;9;19;14291;377;0;0;0
294;2020;8;9999;7;2;6;2;3;0;0;0;0;57;0;11;0;0;2;5;2;13;6860;253;0;0;0
320;2019;9;9999;4;0;1;4;-3;0;1;0;0;65;0;4;76;35;7;1;2;7;4162;275;108;0;0
320;2020;9;9999;20;6;9;18;2;1;2;0;0;64;1;44;349;187;13;12;5;10;23545;1741;0;0;0
