PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel
1246;19;19;7;0;0;-2;2;0;0;0;0;0;0;12;8;5;15;62;46;75;11;9351;0;439;99.4;1.9;2.7;30.8;39.3;142;189;42.9;2.4;110;141;43.8;0.7
1248;12;12;5;0;0;-7;0;0;0;0;0;0;0;10;1;3;13;57;53;58;5;6382;139;460;94.7;1.1;5.1;21.4;47.9;67;154;30.3;-1.5;53;109;32.7;1.0
1254;7;7;12;1;9;10;0;0;0;0;0;0;0;4;7;5;3;57;65;48;25;13420;318;0;104.6;5.9;3.2;43.2;35.7;299;240;55.5;-0.5;216;187;53.6;-2.4
1258;21;21;6;2;3;1;2;0;0;0;0;0;0;9;2;2;8;54;60;49;13;6443;0;93;105.6;3.9;3.4;30.2;45.3;95;151;38.6;-3.6;69;116;37.3;-4.2
1261;3;3;4;0;2;-7;2;0;1;0;0;0;0;2;1;0;0;55;63;44;5;4427;399;0;89.2;1.6;7.3;23.6;41.5;55;101;35.3;0.5;41;67;38.0;4.9
1262;9;9;10;0;1;0;4;0;0;0;0;0;0;12;2;1;15;59;60;57;26;11800;227;315;98.6;2.1;2.4;34.8;32.3;220;200;52.4;0.2;154;148;51.0;-0.1
1264;6;6;4;0;1;-7;0;0;0;0;0;0;0;2;1;2;0;52;61;43;5;4035;20;3;80.6;0.0;6.2;18.7;32.1;44;70;38.6;-11.6;34;53;39.1;-12.7
1269;15;15;9;0;5;8;2;0;0;0;0;0;0;11;5;2;5;60;64;53;23;10138;0;84;104.1;4.6;1.8;39.8;23.8;211;140;60.1;4.7;158;100;61.2;5.5
1270;10;10;4;0;1;-6;0;0;0;0;0;0;0;4;0;4;2;56;61;47;8;4768;220;87;96.2;1.5;6.0;17.4;48.3;54;112;32.5;-1.8;42;85;33.1;1.1
1276;13;13;6;1;1;2;0;0;0;0;0;0;0;7;0;0;2;67;69;62;14;6800;873;47;101.2;3.7;2.6;37.1;30.2;136;107;56.0;12.4;98;77;56.0;10.8
1282;3;3;4;2;1;-3;0;0;0;0;0;0;0;5;0;1;9;55;65;45;5;4676;0;180;104.3;2.3;4.6;18.5;56.2;48;129;27.1;-12.3;34;99;25.6;-14.3
1286;12;12;5;1;0;-4;2;0;0;0;0;0;0;7;1;1;2;53;59;44;7;5766;369;33;96.4;0.6;3.1;18.1;44.3;66;135;32.8;2.4;48;95;33.6;2.2
1293;12;12;5;0;2;-4;2;0;0;0;0;0;0;7;4;5;2;60;62;52;8;6012;219;215;99.5;1.8;4.2;24.0;52.1;70;148;32.1;1.4;56;110;33.7;2.7
1295;7;7;12;1;5;1;2;0;0;0;0;0;0;11;6;4;4;57;60;54;30;14084;258;164;100.5;3.1;2.8;37.1;36.0;268;246;52.1;-5.5;193;186;50.9;-6.3
1300;3;3;4;0;0;-3;0;0;0;0;0;0;0;1;0;0;1;50;53;46;3;2889;171;92;91.9;0.0;3.7;17.4;46.1;30;79;27.5;-9.5;22;57;27.8;-8.6
1311;10;10;4;0;1;-8;0;0;0;0;0;0;0;4;3;0;3;52;61;42;7;5066;391;65;93.6;2.1;7.1;24.9;47.6;66;118;35.9;3.6;47;89;34.6;3.6
1313;13;13;6;1;1;-1;0;0;0;0;0;0;0;7;6;1;8;55;58;50;8;5767;0;82;98.6;3.7;4.4;34.3;35.6;100;108;48.1;0.4;77;77;50.0;1.7
1316;21;21;6;0;4;-2;0;0;1;0;0;0;0;4;4;1;9;66;64;65;17;6790;393;126;97.8;3.7;4.8;39.2;40.8;134;149;47.3;9.5;102;117;46.6;9.8
1318;7;7;12;3;1;5;4;0;0;0;0;0;0;15;3;0;6;59;54;64;39;13567;0;163;100.0;4.2;2.9;44.0;30.2;316;218;59.2;5.1;222;164;57.5;3.5
1319;5;5;5;1;1;-10;0;0;0;0;0;0;0;8;1;3;10;56;63;44;9;6287;0;387;90.1;1.1;6.9;19.5;43.5;73;158;31.6;1.6;51;119;30.0;-0.7
1320;21;21;6;2;2;-2;0;0;0;0;0;0;0;10;4;2;8;59;65;51;11;6853;67;0;99.0;2.1;3.2;29.9;39.4;114;154;42.5;2.1;79;112;41.4;1.6
1323;8;8;17;3;6;-6;2;2;0;0;0;0;0;14;12;2;30;57;54;59;26;19504;424;468;99.8;2.0;3.0;30.5;43.2;286;411;41.0;-14.0;215;313;40.7;-14.3
1326;10;10;4;0;0;-1;0;0;0;0;0;0;0;5;2;0;10;61;50;70;8;4697;480;74;102.3;2.3;2.3;30.7;44.5;66;104;38.8;8.1;52;76;40.6;13.0
1327;5;5;5;0;1;-4;0;0;0;0;0;0;0;18;5;0;15;58;47;67;7;6213;54;381;99.1;1.7;4.1;20.9;44.0;77;158;32.8;3.4;53;112;32.1;2.5
1329;8;8;17;0;6;-5;2;0;0;0;0;0;0;13;10;7;36;55;54;55;17;19260;5;389;99.8;2.1;3.0;30.7;43.4;283;409;40.9;-14.2;213;312;40.6;-14.5
1341;12;12;5;0;3;-6;5;0;1;0;0;0;0;7;2;3;18;60;56;63;13;6203;449;155;97.2;1.7;5.2;22.6;49.9;74;162;31.4;0.2;59;119;33.1;1.8
1350;21;21;6;3;3;1;0;0;0;0;0;0;0;1;3;0;4;59;63;52;10;6491;0;112;105.6;3.9;3.3;29.9;44.9;95;151;38.6;-3.6;69;116;37.3;-4.2
1353;18;18;14;1;10;5;0;0;0;0;0;0;0;20;9;10;8;61;63;55;25;16768;267;703;106.4;3.2;2.1;26.2;36.3;240;332;42.0;-3.7;180;233;43.6;-2.3
1367;5;5;5;1;0;-3;0;0;0;0;0;0;0;4;3;0;17;60;60;55;10;5943;54;19;99.3;1.2;3.0;24.2;52.7;67;166;28.8;-2.7;52;116;31.0;0.8
